Age,EdLevel,YearsCodePro,DevType,CompanySize,Salary_USD
18-35 years old,Bachelor,1,DE/DA/BA,Medium(100-999),60000.0
18-35 years old,Doctoral(PhD),5,DS/MLE,Large(>1000),102700.0
18-35 years old,Bachelor,4,DE/DA/BA,Small(1-99),50740.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),3700.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),158700.0
18-35 years old,Bachelor,12,DS/MLE,Small(1-99),92040.0
18-35 years old,Master,6,DS/MLE,Small(1-99),76700.0
18-35 years old,Bachelor,5,DS/MLE,Medium(100-999),69000.0
18-35 years old,Master,11,DE/DA/BA,Medium(100-999),150000.0
18-35 years old,Master,4,DE/DA/BA,Large(>1000),140000.0
